cycle,bin,power_hex,power_unsigned
272967,0,00000000,0
272968,1,00000000,0
272969,2,00000000,0
272970,3,00000000,0
272971,4,00000000,0
272972,5,00000000,0
272973,6,00000000,0
272974,7,00000000,0
272975,8,00000000,0
272976,9,00000000,0
272977,10,00000000,0
272978,11,00000000,0
272979,12,00000000,0
272980,13,00000000,0
272981,14,00000000,0
272982,15,00000000,0
272983,16,00000000,0
272984,17,00000000,0
272985,18,00000000,0
272986,19,00000000,0
272987,20,00000000,0
272988,21,00000000,0
272989,22,00000000,0
272990,23,00000000,0
272991,24,00000000,0
272992,25,00000000,0
272993,26,00000000,0
272994,27,00000000,0
272995,28,00000000,0
272996,29,00000000,0
272997,30,00000000,0
272998,31,00000000,0
272999,32,00000000,0
273000,33,00000000,0
273001,34,00000000,0
273002,35,00000000,0
273003,36,00000000,0
273004,37,00000000,0
273005,38,00000000,0
273006,39,00000000,0
273007,40,00000000,0
273008,41,00000000,0
273009,42,00000000,0
273010,43,00000000,0
273011,44,00000000,0
273012,45,00000000,0
273013,46,00000000,0
273014,47,00000000,0
273015,48,00000000,0
273016,49,00000059,89
273017,50,00000272,626
273018,51,00000105,261
273019,52,00000001,1
273020,53,00000000,0
273021,54,00000000,0
273022,55,00000000,0
273023,56,00000000,0
273024,57,00000000,0
273025,58,00000000,0
273026,59,00000000,0
273027,60,00000000,0
273028,61,00000000,0
273029,62,00000000,0
273030,63,00000000,0
273031,64,00000000,0
273032,65,00000000,0
273033,66,00000000,0
273034,67,00000000,0
273035,68,00000000,0
273036,69,00000000,0
273037,70,00000000,0
273038,71,00000000,0
273039,72,00000000,0
273040,73,00000000,0
273041,74,00000000,0
273042,75,00000000,0
273043,76,00000000,0
273044,77,00000000,0
273045,78,00000000,0
273046,79,00000000,0
273047,80,00000000,0
273048,81,00000000,0
273049,82,00000000,0
273050,83,00000000,0
273051,84,00000000,0
273052,85,00000000,0
273053,86,00000000,0
273054,87,00000000,0
273055,88,00000000,0
273056,89,00000000,0
273057,90,00000000,0
273058,91,00000000,0
273059,92,00000000,0
273060,93,00000000,0
273061,94,00000000,0
273062,95,00000000,0
273063,96,00000000,0
273064,97,00000000,0
273065,98,00000000,0
273066,99,0000002a,42
273067,100,0000022a,554
273068,101,00000175,373
273069,102,00000006,6
273070,103,00000000,0
273071,104,00000000,0
273072,105,00000000,0
273073,106,00000000,0
273074,107,00000000,0
273075,108,00000000,0
273076,109,00000000,0
273077,110,00000000,0
273078,111,00000000,0
273079,112,00000000,0
273080,113,00000000,0
273081,114,00000000,0
273082,115,00000000,0
273083,116,00000000,0
273084,117,00000000,0
273085,118,00000000,0
273086,119,00000000,0
273087,120,00000000,0
273088,121,00000000,0
273089,122,00000000,0
273090,123,00000000,0
273091,124,00000000,0
273092,125,00000000,0
273093,126,00000000,0
273094,127,00000000,0
