time_ps,bram_addr,bram_en,bram_we,bram_wrdata,fir_data,fir_valid,vpp_data,vpp_valid,mean_square_data,mean_square_valid,writer_busy,vpp_done,mean_square_done
2048805000,0x00008,1,1111,0x0003fffc,3,1,0x00000000,0,0x00000000,0,1,0,0
2048825000,0x0000c,1,1111,0x000b0012,11,1,0x00000000,0,0x00000000,0,1,0,0
2048845000,0x00010,1,1111,0x000a000d,10,1,0x00000000,0,0x00000000,0,1,0,0
2048865000,0x00014,1,1111,0x0005000f,5,1,0x00000000,0,0x00000000,0,1,0,0
2048885000,0x00018,1,1111,0x00140019,20,1,0x00000000,0,0x00000000,0,1,0,0
2048905000,0x0001c,1,1111,0x0021002b,33,1,0x00000000,0,0x00000000,0,1,0,0
2048925000,0x00020,1,1111,0x00280019,40,1,0x00000000,0,0x00000000,0,1,0,0
2048945000,0x00024,1,1111,0x0028002e,40,1,0x00000000,0,0x00000000,0,1,0,0
2048965000,0x00028,1,1111,0x00350032,53,1,0x00000000,0,0x00000000,0,1,0,0
2048985000,0x0002c,1,1111,0x00330032,51,1,0x00000000,0,0x00000000,0,1,0,0
2049005000,0x00030,1,1111,0x00410039,65,1,0x00000000,0,0x00000000,0,1,0,0
2049025000,0x00034,1,1111,0x00450041,69,1,0x00000000,0,0x00000000,0,1,0,0
2049045000,0x00038,1,1111,0x004d0046,77,1,0x00000000,0,0x00000000,0,1,0,0
2049065000,0x0003c,1,1111,0x0051004d,81,1,0x00000000,0,0x00000000,0,1,0,0
2049085000,0x00040,1,1111,0x0049004b,73,1,0x00000000,0,0x00000000,0,1,0,0
2049105000,0x00044,1,1111,0x00510053,81,1,0x00000000,0,0x00000000,0,1,0,0
2049125000,0x00048,1,1111,0x0064005a,100,1,0x00000000,0,0x00000000,0,1,0,0
2049145000,0x0004c,1,1111,0x0062005a,98,1,0x00000000,0,0x00000000,0,1,0,0
2049165000,0x00050,1,1111,0x0065006a,101,1,0x00000000,0,0x00000000,0,1,0,0
2049185000,0x00054,1,1111,0x00710068,113,1,0x00000000,0,0x00000000,0,1,0,0
2049205000,0x00058,1,1111,0x00790077,121,1,0x00000000,0,0x00000000,0,1,0,0
2049225000,0x0005c,1,1111,0x007b007a,123,1,0x00000000,0,0x00000000,0,1,0,0
2049245000,0x00060,1,1111,0x0084007f,132,1,0x00000000,0,0x00000000,0,1,0,0
2049265000,0x00064,1,1111,0x00900084,144,1,0x00000000,0,0x00000000,0,1,0,0
2049285000,0x00068,1,1111,0x008e008a,142,1,0x00000000,0,0x00000000,0,1,0,0
2049305000,0x0006c,1,1111,0x0092008f,146,1,0x00000000,0,0x00000000,0,1,0,0
2049325000,0x00070,1,1111,0x00940093,148,1,0x00000000,0,0x00000000,0,1,0,0
2049345000,0x00074,1,1111,0x009c00a2,156,1,0x00000000,0,0x00000000,0,1,0,0
2049365000,0x00078,1,1111,0x009f009b,159,1,0x00000000,0,0x00000000,0,1,0,0
2049385000,0x0007c,1,1111,0x00a200a0,162,1,0x00000000,0,0x00000000,0,1,0,0
2049405000,0x00080,1,1111,0x00a500af,165,1,0x00000000,0,0x00000000,0,1,0,0
2049425000,0x00084,1,1111,0x00b100a9,177,1,0x00000000,0,0x00000000,0,1,0,0
2049445000,0x00088,1,1111,0x00b600c3,182,1,0x00000000,0,0x00000000,0,1,0,0
2049465000,0x0008c,1,1111,0x00b900ba,185,1,0x00000000,0,0x00000000,0,1,0,0
2049485000,0x00090,1,1111,0x00c600ba,198,1,0x00000000,0,0x00000000,0,1,0,0
2049505000,0x00094,1,1111,0x00c800c6,200,1,0x00000000,0,0x00000000,0,1,0,0
2049525000,0x00098,1,1111,0x00c500c2,197,1,0x00000000,0,0x00000000,0,1,0,0
2049545000,0x0009c,1,1111,0x00cb00d0,203,1,0x00000000,0,0x00000000,0,1,0,0
2049565000,0x000a0,1,1111,0x00d200cc,210,1,0x00000000,0,0x00000000,0,1,0,0
2049585000,0x000a4,1,1111,0x00d700e2,215,1,0x00000000,0,0x00000000,0,1,0,0
2049605000,0x000a8,1,1111,0x00da00dc,218,1,0x00000000,0,0x00000000,0,1,0,0
2049625000,0x000ac,1,1111,0x00e800d8,232,1,0x00000000,0,0x00000000,0,1,0,0
2049645000,0x000b0,1,1111,0x00ec00da,236,1,0x00000000,0,0x00000000,0,1,0,0
2049665000,0x000b4,1,1111,0x00e700e9,231,1,0x00000000,0,0x00000000,0,1,0,0
2049685000,0x000b8,1,1111,0x00f000ef,240,1,0x00000000,0,0x00000000,0,1,0,0
2049705000,0x000bc,1,1111,0x00f400ef,244,1,0x00000000,0,0x00000000,0,1,0,0
2049725000,0x000c0,1,1111,0x00f700f6,247,1,0x00000000,0,0x00000000,0,1,0,0
2049745000,0x000c4,1,1111,0x00fb00fa,251,1,0x00000000,0,0x00000000,0,1,0,0
2049765000,0x000c8,1,1111,0x00fb0100,251,1,0x00000000,0,0x00000000,0,1,0,0
2049785000,0x000cc,1,1111,0x010d0103,269,1,0x00000000,0,0x00000000,0,1,0,0
2049805000,0x000d0,1,1111,0x01070102,263,1,0x00000000,0,0x00000000,0,1,0,0
2049825000,0x000d4,1,1111,0x010700fe,263,1,0x00000000,0,0x00000000,0,1,0,0
2049845000,0x000d8,1,1111,0x01140112,276,1,0x00000000,0,0x00000000,0,1,0,0
2049865000,0x000dc,1,1111,0x01110102,273,1,0x00000000,0,0x00000000,0,1,0,0
2049885000,0x000e0,1,1111,0x01130114,275,1,0x00000000,0,0x00000000,0,1,0,0
2049905000,0x000e4,1,1111,0x011b010f,283,1,0x00000000,0,0x00000000,0,1,0,0
2049925000,0x000e8,1,1111,0x011a011b,282,1,0x00000000,0,0x00000000,0,1,0,0
2049945000,0x000ec,1,1111,0x01240121,292,1,0x00000000,0,0x00000000,0,1,0,0
2049965000,0x000f0,1,1111,0x01270121,295,1,0x00000000,0,0x00000000,0,1,0,0
2049985000,0x000f4,1,1111,0x012c012d,300,1,0x00000000,0,0x00000000,0,1,0,0
2050005000,0x000f8,1,1111,0x0126012b,294,1,0x00000000,0,0x00000000,0,1,0,0
2050025000,0x000fc,1,1111,0x01280137,296,1,0x00000000,0,0x00000000,0,1,0,0
2050045000,0x00100,1,1111,0x01310131,305,1,0x00000000,0,0x00000000,0,1,0,0
2050065000,0x00104,1,1111,0x01310132,305,1,0x00000000,0,0x00000000,0,1,0,0
2050085000,0x00108,1,1111,0x0134013f,308,1,0x00000000,0,0x00000000,0,1,0,0
2050105000,0x0010c,1,1111,0x0138013b,312,1,0x00000000,0,0x00000000,0,1,0,0
2050125000,0x00110,1,1111,0x01440140,324,1,0x00000000,0,0x00000000,0,1,0,0
2050145000,0x00114,1,1111,0x013d013e,317,1,0x00000000,0,0x00000000,0,1,0,0
2050165000,0x00118,1,1111,0x01410140,321,1,0x00000000,0,0x00000000,0,1,0,0
2050185000,0x0011c,1,1111,0x01450141,325,1,0x00000000,0,0x00000000,0,1,0,0
2050205000,0x00120,1,1111,0x01550143,341,1,0x00000000,0,0x00000000,0,1,0,0
2050225000,0x00124,1,1111,0x01500147,336,1,0x00000000,0,0x00000000,0,1,0,0
2050245000,0x00128,1,1111,0x014b0142,331,1,0x00000000,0,0x00000000,0,1,0,0
2050265000,0x0012c,1,1111,0x01470140,327,1,0x00000000,0,0x00000000,0,1,0,0
2050285000,0x00130,1,1111,0x01520153,338,1,0x00000000,0,0x00000000,0,1,0,0
2050305000,0x00134,1,1111,0x01530150,339,1,0x00000000,0,0x00000000,0,1,0,0
2050325000,0x00138,1,1111,0x014e0149,334,1,0x00000000,0,0x00000000,0,1,0,0
2050345000,0x0013c,1,1111,0x01520155,338,1,0x00000000,0,0x00000000,0,1,0,0
2050365000,0x00140,1,1111,0x01550151,341,1,0x00000000,0,0x00000000,0,1,0,0
2050385000,0x00144,1,1111,0x0159015f,345,1,0x00000000,0,0x00000000,0,1,0,0
2050405000,0x00148,1,1111,0x01560157,342,1,0x00000000,0,0x00000000,0,1,0,0
2050425000,0x0014c,1,1111,0x015e0159,350,1,0x00000000,0,0x00000000,0,1,0,0
2050445000,0x00150,1,1111,0x015c015b,348,1,0x00000000,0,0x00000000,0,1,0,0
2050465000,0x00154,1,1111,0x01640166,356,1,0x00000000,0,0x00000000,0,1,0,0
2050485000,0x00158,1,1111,0x015c0162,348,1,0x00000000,0,0x00000000,0,1,0,0
2050505000,0x0015c,1,1111,0x01640157,356,1,0x00000000,0,0x00000000,0,1,0,0
2050525000,0x00160,1,1111,0x015f0164,351,1,0x00000000,0,0x00000000,0,1,0,0
2050545000,0x00164,1,1111,0x01650164,357,1,0x00000000,0,0x00000000,0,1,0,0
2050565000,0x00168,1,1111,0x0173016a,371,1,0x00000000,0,0x00000000,0,1,0,0
2050585000,0x0016c,1,1111,0x01630164,355,1,0x00000000,0,0x00000000,0,1,0,0
2050605000,0x00170,1,1111,0x0160016a,352,1,0x00000000,0,0x00000000,0,1,0,0
2050625000,0x00174,1,1111,0x01620160,354,1,0x00000000,0,0x00000000,0,1,0,0
2050645000,0x00178,1,1111,0x01620166,354,1,0x00000000,0,0x00000000,0,1,0,0
2050665000,0x0017c,1,1111,0x016c0165,364,1,0x00000000,0,0x00000000,0,1,0,0
2050685000,0x00180,1,1111,0x01600169,352,1,0x00000000,0,0x00000000,0,1,0,0
2050705000,0x00184,1,1111,0x01670169,359,1,0x00000000,0,0x00000000,0,1,0,0
2050725000,0x00188,1,1111,0x016b0159,363,1,0x00000000,0,0x00000000,0,1,0,0
2050745000,0x0018c,1,1111,0x01640169,356,1,0x00000000,0,0x00000000,0,1,0,0
2050765000,0x00190,1,1111,0x016a0165,362,1,0x00000000,0,0x00000000,0,1,0,0
2050785000,0x00194,1,1111,0x015b0166,347,1,0x00000000,0,0x00000000,0,1,0,0
2050805000,0x00198,1,1111,0x015d0165,349,1,0x00000000,0,0x00000000,0,1,0,0
2050825000,0x0019c,1,1111,0x016b0167,363,1,0x00000000,0,0x00000000,0,1,0,0
2050845000,0x001a0,1,1111,0x016f0167,367,1,0x00000000,0,0x00000000,0,1,0,0
2050865000,0x001a4,1,1111,0x016b015d,363,1,0x00000000,0,0x00000000,0,1,0,0
2050885000,0x001a8,1,1111,0x0164016d,356,1,0x00000000,0,0x00000000,0,1,0,0
2050905000,0x001ac,1,1111,0x01680168,360,1,0x00000000,0,0x00000000,0,1,0,0
2050925000,0x001b0,1,1111,0x01600162,352,1,0x00000000,0,0x00000000,0,1,0,0
2050945000,0x001b4,1,1111,0x01630165,355,1,0x00000000,0,0x00000000,0,1,0,0
2050965000,0x001b8,1,1111,0x01580162,344,1,0x00000000,0,0x00000000,0,1,0,0
2050985000,0x001bc,1,1111,0x0166016a,358,1,0x00000000,0,0x00000000,0,1,0,0
2051005000,0x001c0,1,1111,0x01690159,361,1,0x00000000,0,0x00000000,0,1,0,0
2051025000,0x001c4,1,1111,0x015d0160,349,1,0x00000000,0,0x00000000,0,1,0,0
2051045000,0x001c8,1,1111,0x01590160,345,1,0x00000000,0,0x00000000,0,1,0,0
2051065000,0x001cc,1,1111,0x0162015e,354,1,0x00000000,0,0x00000000,0,1,0,0
2051085000,0x001d0,1,1111,0x015d0159,349,1,0x00000000,0,0x00000000,0,1,0,0
