time_ps,write_index,bram_addr,bram_en,bram_we,bram_wrdata,writer_busy,vpp_done,mean_square_done,wave_done,error
2049375000,0,0x00008,1,1111,0xxxxxxxxx,1,0,0,0,x
2049435000,1,0x0000c,1,1111,0xxxxxxxxx,1,0,0,0,x
2049495000,2,0x00010,1,1111,0xxxxxxxxx,1,0,0,0,x
2049555000,3,0x00014,1,1111,0xxxxxxxxx,1,0,0,0,x
2049615000,4,0x00018,1,1111,0xxxxxxxxx,1,0,0,0,x
2049675000,5,0x0001c,1,1111,0xxxxxxxxx,1,0,0,0,x
2049735000,6,0x00020,1,1111,0xxxxxxxxx,1,0,0,0,x
2049795000,7,0x00024,1,1111,0xxxxxxxxx,1,0,0,0,x
2049855000,8,0x00028,1,1111,0xxxxxxxxx,1,0,0,0,x
2049915000,9,0x0002c,1,1111,0xxxxxxxxx,1,0,0,0,x
2049975000,10,0x00030,1,1111,0xxxxxxxxx,1,0,0,0,x
2050035000,11,0x00034,1,1111,0xxxxxxxxx,1,0,0,0,x
2050095000,12,0x00038,1,1111,0xxxxxxxxx,1,0,0,0,x
2050155000,13,0x0003c,1,1111,0xxxxxxxxx,1,0,0,0,x
2050215000,14,0x00040,1,1111,0xxxxxxxxx,1,0,0,0,x
2050275000,15,0x00044,1,1111,0xxxxxxxxx,1,0,0,0,x
2050335000,16,0x00048,1,1111,0xxxxxxxxx,1,0,0,0,x
2050395000,17,0x0004c,1,1111,0xxxxxxxxx,1,0,0,0,x
2050455000,18,0x00050,1,1111,0xxxxxxxxx,1,0,0,0,x
2050515000,19,0x00054,1,1111,0xxxxxxxxx,1,0,0,0,x
2050575000,20,0x00058,1,1111,0xxxxxxxxx,1,0,0,0,x
2050635000,21,0x0005c,1,1111,0xxxxxxxxx,1,0,0,0,x
2050695000,22,0x00060,1,1111,0xxxxxxxxx,1,0,0,0,x
2050755000,23,0x00064,1,1111,0xxxxxxxxx,1,0,0,0,x
2050815000,24,0x00068,1,1111,0xxxxxxxxx,1,0,0,0,x
2050875000,25,0x0006c,1,1111,0xxxxxxxxx,1,0,0,0,x
2050935000,26,0x00070,1,1111,0xxxxxxxxx,1,0,0,0,x
2050995000,27,0x00074,1,1111,0xxxxxxxxx,1,0,0,0,x
2051055000,28,0x00078,1,1111,0xxxxxxxxx,1,0,0,0,x
2051115000,29,0x0007c,1,1111,0xxxxxxxxx,1,0,0,0,x
2051175000,30,0x00080,1,1111,0xxxxxxxxx,1,0,0,0,x
2051235000,31,0x00084,1,1111,0xxxxxxxxx,1,0,0,0,x
2051295000,32,0x00088,1,1111,0xxxxxxxxx,1,0,0,0,x
2051355000,33,0x0008c,1,1111,0xxxxxxxxx,1,0,0,0,x
2051415000,34,0x00090,1,1111,0xxxxxxxxx,1,0,0,0,x
2051475000,35,0x00094,1,1111,0xxxxxxxxx,1,0,0,0,x
2051535000,36,0x00098,1,1111,0xxxxxxxxx,1,0,0,0,x
