index,decim_data,hann_q15,expected_window,rtl_window,error
0,0,0,0,0,0
1,0,0,0,0,0
2,2,0,0,0,0
3,0,0,0,0,0
4,6,0,0,0,0
5,43,0,0,0,0
6,90,1,0,0,0
7,134,1,0,0,0
8,177,1,0,0,0
9,216,2,0,0,0
10,250,2,0,0,0
11,280,2,0,0,0
12,309,3,0,0,0
13,328,3,0,0,0
14,343,4,0,0,0
15,355,4,0,0,0
16,357,5,0,0,0
17,356,6,0,0,0
18,351,6,0,0,0
19,339,7,0,0,0
20,322,8,0,0,0
21,299,8,0,0,0
22,276,9,0,0,0
23,248,10,0,0,0
24,216,11,0,0,0
25,186,12,0,0,0
26,155,13,0,0,0
27,124,14,0,0,0
28,92,15,0,0,0
29,60,16,0,0,0
30,33,17,0,0,0
31,7,19,0,0,0
32,-17,20,0,0,0
33,-36,21,0,0,0
34,-54,22,0,0,0
35,-65,24,0,0,0
36,-71,25,0,0,0
37,-76,26,0,0,0
38,-76,28,0,0,0
39,-72,29,0,0,0
40,-67,31,0,0,0
41,-56,32,0,0,0
42,-41,34,0,0,0
43,-29,36,0,0,0
44,-17,37,0,0,0
45,2,39,0,0,0
46,18,41,0,0,0
47,31,43,0,0,0
48,44,44,0,0,0
49,58,46,0,0,0
50,68,48,0,0,0
51,70,50,0,0,0
52,74,52,0,0,0
53,75,54,0,0,0
54,69,56,0,0,0
55,60,58,0,0,0
56,48,60,0,0,0
57,32,63,0,0,0
58,10,65,0,0,0
59,-14,67,0,0,0
60,-39,69,0,0,0
61,-70,72,0,0,0
62,-100,74,0,0,0
63,-130,76,0,0,0
64,-163,79,0,0,0
65,-196,81,0,0,0
66,-228,84,-1,-1,0
67,-257,86,-1,-1,0
68,-283,89,-1,-1,0
69,-306,92,-1,-1,0
70,-328,94,-1,-1,0
71,-344,97,-1,-1,0
72,-354,100,-1,-1,0
73,-360,103,-1,-1,0
74,-358,105,-1,-1,0
75,-353,108,-1,-1,0
76,-343,111,-1,-1,0
77,-325,114,-1,-1,0
78,-304,117,-1,-1,0
79,-277,120,-1,-1,0
80,-244,123,-1,-1,0
81,-208,126,-1,-1,0
82,-169,129,-1,-1,0
83,-127,133,-1,-1,0
84,-79,136,0,0,0
85,-33,139,0,0,0
86,12,142,0,0,0
87,60,146,0,0,0
88,107,149,0,0,0
89,150,152,1,1,0
90,191,156,1,1,0
91,231,159,1,1,0
92,264,163,1,1,0
93,293,166,1,1,0
94,317,170,2,2,0
95,334,174,2,2,0
96,349,177,2,2,0
97,356,181,2,2,0
98,358,185,2,2,0
99,358,189,2,2,0
100,349,192,2,2,0
101,333,196,2,2,0
102,315,200,2,2,0
103,292,204,2,2,0
104,266,208,2,2,0
105,237,212,2,2,0
106,208,216,1,1,0
107,175,220,1,1,0
108,143,224,1,1,0
109,110,228,1,1,0
110,80,233,1,1,0
111,52,237,0,0,0
112,21,241,0,0,0
113,-3,246,0,0,0
114,-23,250,0,0,0
115,-42,254,0,0,0
116,-56,259,0,0,0
117,-67,263,-1,-1,0
118,-73,268,-1,-1,0
119,-75,272,-1,-1,0
120,-75,277,-1,-1,0
121,-71,281,-1,-1,0
122,-62,286,-1,-1,0
123,-49,291,0,0,0
124,-37,295,0,0,0
125,-25,300,0,0,0
126,-9,305,0,0,0
127,6,310,0,0,0
128,23,315,0,0,0
129,38,320,0,0,0
130,48,325,0,0,0
131,59,330,1,1,0
132,69,335,1,1,0
133,74,340,1,1,0
134,75,345,1,1,0
135,72,350,1,1,0
136,66,355,1,1,0
137,55,360,1,1,0
138,43,366,0,0,0
139,23,371,0,0,0
140,1,376,0,0,0
141,-21,382,0,0,0
142,-50,387,-1,-1,0
143,-81,393,-1,-1,0
144,-112,398,-1,-1,0
145,-144,404,-2,-2,0
146,-175,409,-2,-2,0
147,-208,415,-3,-3,0
148,-238,420,-3,-3,0
149,-265,426,-3,-3,0
150,-293,432,-4,-4,0
151,-316,438,-4,-4,0
152,-333,443,-5,-5,0
153,-347,449,-5,-5,0
154,-357,455,-5,-5,0
155,-360,461,-5,-5,0
156,-359,467,-5,-5,0
157,-353,473,-5,-5,0
158,-338,479,-5,-5,0
159,-318,485,-5,-5,0
160,-295,491,-4,-4,0
161,-264,497,-4,-4,0
162,-231,503,-4,-4,0
163,-194,509,-3,-3,0
164,-151,516,-2,-2,0
165,-109,522,-2,-2,0
166,-62,528,-1,-1,0
167,-16,535,0,0,0
168,29,541,0,0,0
169,77,547,1,1,0
170,124,554,2,2,0
171,166,560,3,3,0
172,204,567,4,4,0
173,242,574,4,4,0
174,275,580,5,5,0
175,302,587,5,5,0
176,325,593,6,6,0
177,342,600,6,6,0
178,353,607,7,7,0
179,360,614,7,7,0
180,359,621,7,7,0
181,353,627,7,7,0
182,342,634,7,7,0
183,327,641,6,6,0
184,307,648,6,6,0
185,282,655,6,6,0
186,255,662,5,5,0
187,227,669,5,5,0
188,195,677,4,4,0
189,163,684,3,3,0
190,131,691,3,3,0
191,99,698,2,2,0
192,68,705,1,1,0
193,41,713,1,1,0
194,15,720,0,0,0
195,-10,728,0,0,0
196,-31,735,-1,-1,0
197,-48,742,-1,-1,0
198,-63,750,-1,-1,0
199,-69,757,-2,-2,0
200,-72,765,-2,-2,0
201,-75,773,-2,-2,0
202,-72,780,-2,-2,0
203,-65,788,-2,-2,0
204,-57,796,-1,-1,0
205,-46,803,-1,-1,0
206,-32,811,-1,-1,0
207,-18,819,0,0,0
208,-4,827,0,0,0
209,13,835,0,0,0
210,28,843,1,1,0
211,42,851,1,1,0
212,54,859,1,1,0
213,63,867,2,2,0
214,70,875,2,2,0
215,73,883,2,2,0
216,73,891,2,2,0
217,71,899,2,2,0
218,63,908,2,2,0
219,50,916,1,1,0
220,36,924,1,1,0
221,17,932,0,0,0
222,-6,941,0,0,0
223,-33,949,-1,-1,0
224,-60,958,-2,-2,0
225,-90,966,-3,-3,0
226,-124,975,-4,-4,0
227,-155,983,-5,-5,0
228,-188,992,-6,-6,0
229,-221,1000,-7,-7,0
230,-248,1009,-8,-8,0
231,-277,1018,-9,-9,0
232,-302,1027,-9,-9,0
233,-323,1035,-10,-10,0
234,-339,1044,-11,-11,0
235,-351,1053,-11,-11,0
236,-358,1062,-12,-12,0
237,-358,1071,-12,-12,0
238,-355,1080,-12,-12,0
239,-346,1089,-11,-11,0
240,-331,1098,-11,-11,0
241,-309,1107,-10,-10,0
242,-284,1116,-10,-10,0
243,-253,1125,-9,-9,0
244,-216,1134,-7,-7,0
245,-180,1143,-6,-6,0
246,-137,1153,-5,-5,0
247,-92,1162,-3,-3,0
248,-47,1171,-2,-2,0
249,0,1181,0,0,0
250,48,1190,2,2,0
251,94,1199,3,3,0
252,138,1209,5,5,0
253,180,1218,7,7,0
254,219,1228,8,8,0
255,256,1238,10,10,0
256,286,1247,11,11,0
257,310,1257,12,12,0
258,330,1266,13,13,0
259,346,1276,13,13,0
260,357,1286,14,14,0
261,358,1296,14,14,0
262,356,1305,14,14,0
263,352,1315,14,14,0
264,338,1325,14,14,0
265,318,1335,13,13,0
266,298,1345,12,12,0
267,273,1355,11,11,0
268,246,1365,10,10,0
269,216,1375,9,9,0
270,182,1385,8,8,0
271,150,1395,6,6,0
272,120,1406,5,5,0
273,88,1416,4,4,0
274,58,1426,3,3,0
275,31,1436,1,1,0
276,4,1447,0,0,0
277,-19,1457,-1,-1,0
278,-35,1467,-2,-2,0
279,-52,1478,-2,-2,0
280,-64,1488,-3,-3,0
281,-73,1499,-3,-3,0
282,-75,1509,-3,-3,0
283,-74,1520,-3,-3,0
284,-72,1530,-3,-3,0
285,-65,1541,-3,-3,0
286,-55,1552,-3,-3,0
287,-41,1562,-2,-2,0
288,-26,1573,-1,-1,0
289,-13,1584,-1,-1,0
290,3,1595,0,0,0
291,19,1605,1,1,0
292,32,1616,2,2,0
293,47,1627,2,2,0
294,59,1638,3,3,0
295,65,1649,3,3,0
296,71,1660,4,4,0
297,75,1671,4,4,0
298,74,1682,4,4,0
299,68,1693,4,4,0
300,60,1704,3,3,0
301,47,1716,2,2,0
302,26,1727,1,1,0
303,6,1738,0,0,0
304,-16,1749,-1,-1,0
305,-41,1761,-2,-2,0
306,-71,1772,-4,-4,0
307,-103,1783,-6,-6,0
308,-136,1795,-7,-7,0
309,-168,1806,-9,-9,0
310,-200,1818,-11,-11,0
311,-229,1829,-13,-13,0
312,-259,1841,-15,-15,0
313,-286,1852,-16,-16,0
314,-309,1864,-18,-18,0
315,-330,1876,-19,-19,0
316,-344,1887,-20,-20,0
317,-353,1899,-20,-20,0
318,-361,1911,-21,-21,0
319,-358,1923,-21,-21,0
320,-353,1935,-21,-21,0
321,-342,1946,-20,-20,0
322,-321,1958,-19,-19,0
323,-300,1970,-18,-18,0
324,-273,1982,-17,-17,0
325,-242,1994,-15,-15,0
326,-205,2006,-13,-13,0
327,-164,2018,-10,-10,0
328,-120,2030,-7,-7,0
329,-76,2043,-5,-5,0
330,-29,2055,-2,-2,0
331,20,2067,1,1,0
332,66,2079,4,4,0
333,111,2091,7,7,0
334,154,2104,10,10,0
335,195,2116,13,13,0
