index,data,first,last
0,0,1,0
1,0,0,0
2,2,0,0
3,0,0,0
4,6,0,0
5,43,0,0
6,90,0,0
7,134,0,0
8,177,0,0
9,216,0,0
10,250,0,0
11,280,0,0
12,309,0,0
13,328,0,0
14,343,0,0
15,355,0,0
16,357,0,0
17,356,0,0
18,351,0,0
19,339,0,0
20,322,0,0
21,299,0,0
22,276,0,0
23,248,0,0
24,216,0,0
25,186,0,0
26,155,0,0
27,124,0,0
28,92,0,0
29,60,0,0
30,33,0,0
31,7,0,0
32,-17,0,0
33,-36,0,0
34,-54,0,0
35,-65,0,0
36,-71,0,0
37,-76,0,0
38,-76,0,0
39,-72,0,0
40,-67,0,0
41,-56,0,0
42,-41,0,0
43,-29,0,0
44,-17,0,0
45,2,0,0
46,18,0,0
47,31,0,0
48,44,0,0
49,58,0,0
50,68,0,0
51,70,0,0
52,74,0,0
53,75,0,0
54,69,0,0
55,60,0,0
56,48,0,0
57,32,0,0
58,10,0,0
59,-14,0,0
60,-39,0,0
61,-70,0,0
62,-100,0,0
63,-130,0,0
64,-163,0,0
65,-196,0,0
66,-228,0,0
67,-257,0,0
68,-283,0,0
69,-306,0,0
70,-328,0,0
71,-344,0,0
72,-354,0,0
73,-360,0,0
74,-358,0,0
75,-353,0,0
76,-343,0,0
77,-325,0,0
78,-304,0,0
79,-277,0,0
80,-244,0,0
81,-208,0,0
82,-169,0,0
83,-127,0,0
84,-79,0,0
85,-33,0,0
86,12,0,0
87,60,0,0
88,107,0,0
89,150,0,0
90,191,0,0
91,231,0,0
92,264,0,0
93,293,0,0
94,317,0,0
95,334,0,0
96,349,0,0
97,356,0,0
98,358,0,0
99,358,0,0
100,349,0,0
101,333,0,0
102,315,0,0
103,292,0,0
104,266,0,0
105,237,0,0
106,208,0,0
107,175,0,0
108,143,0,0
109,110,0,0
110,80,0,0
111,52,0,0
112,21,0,0
113,-3,0,0
114,-23,0,0
115,-42,0,0
116,-56,0,0
117,-67,0,0
118,-73,0,0
119,-75,0,0
120,-75,0,0
121,-71,0,0
122,-62,0,0
123,-49,0,0
124,-37,0,0
125,-25,0,0
126,-9,0,0
127,6,0,0
128,23,0,0
129,38,0,0
130,48,0,0
131,59,0,0
132,69,0,0
